time_allocation,time_retrieve,time_total,n,rows_per_block,threads_per_line, max_iter
0.176137,4.0689e-05,1.901,10000,16,1,500
0.176242,4.1386e-05,1.93028,10000,32,1,500
0.176201,4.0122e-05,1.91915,10000,64,1,500
0.176804,3.9557e-05,1.92107,10000,128,1,500
0.175876,3.9971e-05,2.37588,10000,256,1,500
0.176035,4.0796e-05,3.57362,10000,512,1,500
0.175951,4.0871e-05,5.40664,10000,1024,1,500
0.17645,4.0466e-05,3.26283,10000,1,2,500
0.176212,4.0115e-05,2.25781,10000,2,2,500
0.176191,3.9772e-05,1.94497,10000,4,2,500
0.175724,4.1244e-05,1.86658,10000,8,2,500
0.176435,4.0033e-05,1.87013,10000,16,2,500
0.176191,3.942e-05,1.86054,10000,32,2,500
0.176444,4.1294e-05,1.86536,10000,64,2,500
0.176616,4.0816e-05,1.85938,10000,128,2,500
0.176007,4.0648e-05,1.97631,10000,256,2,500
0.175894,4.068e-05,2.36196,10000,512,2,500
0.176064,4.103e-05,2.99294,10000,1,4,500
0.176035,3.9922e-05,2.16806,10000,2,4,500
0.175889,3.9545e-05,1.92931,10000,4,4,500
0.175993,4.0901e-05,1.85622,10000,8,4,500
0.176378,4.0018e-05,1.85333,10000,16,4,500
0.176284,4.0649e-05,1.84378,10000,32,4,500
0.176041,4.057e-05,1.84678,10000,64,4,500
0.176128,4.0266e-05,1.83176,10000,128,4,500
0.176719,3.9687e-05,1.87345,10000,256,4,500
0.176084,4.0206e-05,2.2483,10000,1,8,500
0.176329,3.9857e-05,1.93893,10000,2,8,500
0.176183,4.0948e-05,1.79913,10000,4,8,500
0.175917,3.9646e-05,1.79612,10000,8,8,500
0.176181,4.1023e-05,1.79229,10000,16,8,500
0.176273,3.9675e-05,1.78956,10000,32,8,500
0.17641,4.0786e-05,1.79529,10000,64,8,500
0.176356,4.0467e-05,1.78496,10000,128,8,500
0.176409,4.1389e-05,1.39431,10000,1,16,500
0.176571,4.2865e-05,1.23732,10000,2,16,500
0.175914,3.93e-05,1.17113,10000,4,16,500
